2024-11-14 13:28:41,767 - INFO - number of parameters: 16.52M
2024-11-14 13:28:46,477 - INFO - Change 1: Shape of q: torch.Size([8, 8, 177, 64]), Shape of k: torch.Size([8, 2, 177, 64]), Shape of v: torch.Size([8, 2, 177, 64])
2024-11-14 13:28:46,606 - INFO - Change 1: Shape of q: torch.Size([8, 8, 177, 64]), Shape of k: torch.Size([8, 2, 177, 64]), Shape of v: torch.Size([8, 2, 177, 64])
2024-11-14 13:28:46,745 - INFO - Change 1: Shape of q: torch.Size([8, 8, 177, 64]), Shape of k: torch.Size([8, 2, 177, 64]), Shape of v: torch.Size([8, 2, 177, 64])
2024-11-14 13:28:46,884 - INFO - Change 1: Shape of q: torch.Size([8, 8, 177, 64]), Shape of k: torch.Size([8, 2, 177, 64]), Shape of v: torch.Size([8, 2, 177, 64])
2024-11-14 13:28:47,027 - INFO - Change 1: Shape of q: torch.Size([8, 8, 177, 64]), Shape of k: torch.Size([8, 2, 177, 64]), Shape of v: torch.Size([8, 2, 177, 64])
2024-11-14 13:28:47,162 - INFO - Change 1: Shape of q: torch.Size([8, 8, 177, 64]), Shape of k: torch.Size([8, 2, 177, 64]), Shape of v: torch.Size([8, 2, 177, 64])
2024-11-14 13:28:50,658 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:28:50,794 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:28:50,915 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:28:51,032 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:28:51,157 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:28:51,276 - INFO - Change 1: Shape of q: torch.Size([8, 8, 154, 64]), Shape of k: torch.Size([8, 2, 154, 64]), Shape of v: torch.Size([8, 2, 154, 64])
2024-11-14 13:28:54,228 - INFO - Change 1: Shape of q: torch.Size([8, 8, 201, 64]), Shape of k: torch.Size([8, 2, 201, 64]), Shape of v: torch.Size([8, 2, 201, 64])
2024-11-14 13:28:54,403 - INFO - Change 1: Shape of q: torch.Size([8, 8, 201, 64]), Shape of k: torch.Size([8, 2, 201, 64]), Shape of v: torch.Size([8, 2, 201, 64])
2024-11-14 13:28:54,558 - INFO - Change 1: Shape of q: torch.Size([8, 8, 201, 64]), Shape of k: torch.Size([8, 2, 201, 64]), Shape of v: torch.Size([8, 2, 201, 64])
2024-11-14 13:28:54,723 - INFO - Change 1: Shape of q: torch.Size([8, 8, 201, 64]), Shape of k: torch.Size([8, 2, 201, 64]), Shape of v: torch.Size([8, 2, 201, 64])
2024-11-14 13:28:54,882 - INFO - Change 1: Shape of q: torch.Size([8, 8, 201, 64]), Shape of k: torch.Size([8, 2, 201, 64]), Shape of v: torch.Size([8, 2, 201, 64])
2024-11-14 13:28:55,060 - INFO - Change 1: Shape of q: torch.Size([8, 8, 201, 64]), Shape of k: torch.Size([8, 2, 201, 64]), Shape of v: torch.Size([8, 2, 201, 64])
2024-11-14 13:28:58,883 - INFO - Change 1: Shape of q: torch.Size([8, 8, 335, 64]), Shape of k: torch.Size([8, 2, 335, 64]), Shape of v: torch.Size([8, 2, 335, 64])
2024-11-14 13:28:59,233 - INFO - Change 1: Shape of q: torch.Size([8, 8, 335, 64]), Shape of k: torch.Size([8, 2, 335, 64]), Shape of v: torch.Size([8, 2, 335, 64])
2024-11-14 13:28:59,547 - INFO - Change 1: Shape of q: torch.Size([8, 8, 335, 64]), Shape of k: torch.Size([8, 2, 335, 64]), Shape of v: torch.Size([8, 2, 335, 64])
